Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-7594,2042,-3626,229,1484,1040,-106,158,-54
10,-7802,2046,-3746,242,1478,997,-109,140,-23
20,-7452,2136,-3780,232,1481,971,-107,140,-24
30,-6600,1756,-3142,243,1502,1008,-108,141,-28
40,-7998,2334,-3712,220,1559,1066,-110,141,-26
50,-7168,2764,-4148,229,1575,1048,-109,141,-27
60,-7288,3098,-4622,239,1616,1072,-110,143,-30
70,-7372,2608,-4128,218,1629,1053,-109,145,-33
80,-5976,2624,-5672,249,1548,1099,-107,145,-31
90,-6778,2636,-4888,257,1440,991,-109,144,-35
100,-7408,3720,-5106,172,1369,882,-110,144,-35
110,-7360,3590,-5598,206,1330,857,-111,145,-37
120,-7530,2962,-5418,185,1318,885,-107,146,-37
130,-6430,2888,-5190,192,1271,893,-109,149,-39
140,-6550,2720,-4774,238,1301,959,-107,148,-40
150,-6814,3722,-5142,223,1332,917,-107,148,-40
160,-6506,3846,-5840,197,1342,884,-107,148,-42
170,-6352,2872,-4664,223,1355,969,-108,151,-44
180,-6238,3162,-5328,211,1352,938,-108,152,-48
190,-6738,3970,-5682,201,1342,908,-108,151,-45
200,-6246,3662,-6106,211,1345,948,-108,151,-48
210,-6466,3370,-6006,215,1334,950,-106,153,-48
220,-5726,3576,-5286,199,1409,936,-105,153,-49
230,-5696,4202,-6082,218,1475,953,-104,156,-49
240,-5466,3636,-5590,220,1476,980,-106,157,-52
250,-6108,3614,-5914,228,1500,990,-107,155,-53
260,-6004,3932,-6386,205,1461,983,-105,155,-55
270,-5650,3556,-5220,216,1431,977,-103,158,-56
280,-5098,3614,-5748,217,1383,947,-103,158,-57
290,-4800,4144,-6390,177,1384,837,-103,159,-57
300,-4690,4342,-7098,194,1387,890,-101,159,-59
310,-4890,3598,-6374,217,1359,939,-104,162,-62
320,-4984,3398,-5506,208,1433,935,-102,161,-62
330,-4322,4158,-7264,163,1459,935,-101,161,-64
340,-5022,4164,-6586,189,1438,925,-99,162,-64
350,-4348,4610,-8016,214,1446,940,-99,162,-64
360,-4822,4192,-7972,203,1361,928,-98,163,-68
370,-4298,3614,-6806,208,1334,945,-99,164,-66
380,-3864,3926,-7108,198,1331,870,-98,163,-67
390,-4316,3986,-6426,203,1319,935,-98,163,-69
400,-4064,4118,-7528,210,1311,937,-96,164,-70
410,-3516,4054,-7284,195,1337,912,-94,166,-72
420,-3326,4706,-7294,216,1369,950,-94,165,-72
430,-3768,4960,-8404,216,1319,941,-93,168,-76
440,-3592,4332,-6944,205,1352,876,-95,166,-74
450,-3570,4604,-7782,158,1370,856,-93,168,-75
460,-2810,4112,-7664,181,1350,934,-91,167,-79
470,-2254,4250,-6638,206,1369,922,-91,169,-76
480,-3024,5182,-7008,179,1413,925,-91,168,-79
490,-2492,4678,-7204,242,1435,948,-91,170,-80
500,-3018,4804,-8546,210,1396,957,-87,170,-79
510,-1554,4206,-7810,224,1422,958,-85,169,-82
520,-2134,4700,-8468,205,1419,946,-87,171,-83
530,-2064,4570,-8304,201,1401,941,-86,171,-83
540,-2148,5218,-8614,199,1400,952,-86,173,-85
550,-1834,4910,-7868,222,1415,972,-84,171,-85
560,-1766,4502,-8228,242,1387,962,-83,175,-87
570,-1490,4520,-8288,210,1367,940,-82,173,-86
580,-1596,4660,-8304,221,1411,919,-82,174,-88
590,-1300,4516,-8224,210,1370,904,-81,174,-89
600,-1176,5182,-8930,191,1322,924,-80,175,-91
610,-804,4994,-8756,202,1333,910,-79,175,-91
620,-254,4580,-8556,193,1324,856,-79,177,-92
630,-846,4356,-8572,212,1299,924,-76,175,-92
640,-484,3792,-7828,194,1314,912,-76,177,-93
650,262,3806,-7022,192,1417,925,-75,176,-91
660,-568,4268,-8308,207,1453,967,-74,176,-95
670,140,4388,-8526,182,1463,995,-70,177,-97
680,692,4818,-8168,181,1445,964,-73,176,-98
690,-88,4964,-8464,182,1394,961,-70,178,-96
700,18,5118,-9264,203,1342,954,-67,179,-98
710,760,4962,-7910,204,1322,922,-68,178,-98
720,732,4754,-7798,196,1366,891,-70,182,-101
730,450,4240,-8618,218,1345,920,-65,181,-100
740,512,4358,-8456,214,1369,934,-65,178,-101
750,1520,3916,-7310,177,1432,895,-65,179,-103
760,1458,4716,-8164,184,1414,892,-62,180,-101
770,1126,4780,-8504,210,1390,926,-61,179,-102
780,1638,4888,-7772,213,1394,920,-60,181,-103
790,1696,4982,-8402,203,1336,876,-59,180,-105
800,1788,5048,-9744,198,1179,786,-57,181,-104
810,1786,5582,-10566,199,940,647,-57,180,-104
820,2114,6206,-11524,132,658,439,-55,180,-106
830,1890,6474,-11860,90,326,231,-54,182,-104
840,2070,6402,-11578,45,-25,10,-53,180,-104
850,2260,5544,-10256,16,-243,-139,-55,182,-106
