Time (ms) ,x-axis acceleration,y-axis acceleration,z-axis acceleration,x-axis gyroscope,y-axis gyroscope,z-axis gyroscope,x-axis magnetometer,y-axis magnetometer,z-axis magnetometer
0,-5036,3842,-6940,54,-60,3,-88,174,-89
10,-5266,4128,-7154,60,-99,-16,-102,161,-66
20,-5148,4230,-7058,47,-105,-26,-101,161,-66
30,-4970,3990,-6622,39,-112,-33,-99,163,-65
40,-4726,3734,-6052,46,-66,-9,-98,162,-67
50,-4688,3812,-6124,43,-4,5,-100,160,-65
60,-4810,4052,-6522,45,49,21,-103,163,-66
70,-5122,4292,-7046,37,47,10,-103,161,-68
80,-5210,4356,-7428,31,7,-12,-100,161,-67
90,-5134,4234,-7370,22,-31,-38,-99,163,-66
100,-4936,3936,-6876,20,-56,-42,-99,162,-66
110,-4744,3552,-6456,33,-29,-32,-100,162,-65
120,-4640,3442,-6256,41,23,16,-100,163,-68
130,-4794,3650,-6608,56,76,56,-100,163,-66
140,-4994,3968,-7004,74,117,95,-100,162,-67
150,-4984,4020,-7034,67,154,131,-102,164,-66
160,-4818,4042,-6896,55,169,112,-101,164,-66
170,-4630,3948,-6514,60,193,150,-100,162,-68
180,-4424,3632,-5908,68,279,197,-99,160,-68
190,-4204,3332,-5874,86,365,252,-99,162,-67
200,-4316,3394,-6136,100,444,297,-97,160,-69
210,-4764,3828,-6936,105,495,327,-100,162,-69
220,-4874,4058,-7158,111,483,335,-98,162,-67
230,-4940,4366,-7434,103,432,302,-100,165,-68
240,-4802,4486,-7208,88,406,266,-98,166,-69
250,-4648,4292,-7112,89,374,264,-99,164,-69
260,-4454,3864,-6332,107,391,293,-100,164,-68
270,-4136,3774,-6020,105,473,312,-99,163,-71
280,-4498,4088,-6744,107,512,308,-98,166,-72
290,-4446,4184,-7000,114,541,326,-99,164,-71
300,-4328,4388,-7618,107,541,318,-98,166,-72
310,-4350,4454,-7566,94,519,297,-98,163,-71
320,-4220,4430,-7650,81,500,280,-97,165,-72
330,-4208,4378,-7718,82,436,272,-97,166,-70
340,-4184,4220,-7600,92,422,278,-97,165,-72
350,-4016,4100,-7738,96,404,274,-97,165,-74
360,-3982,4122,-7356,99,409,273,-97,166,-73
370,-3914,4342,-7570,94,417,273,-95,166,-74
380,-3638,4128,-7338,98,420,300,-97,164,-72
390,-3798,4122,-7390,97,437,288,-96,167,-74
400,-3846,4246,-7614,80,441,284,-95,168,-76
410,-3828,4382,-7758,82,425,282,-94,168,-78
420,-3850,4480,-7742,87,403,290,-94,166,-75
430,-3904,4336,-7420,94,409,299,-95,166,-77
440,-3890,3986,-7060,83,418,276,-94,167,-76
450,-3782,3964,-7008,83,435,283,-94,168,-77
460,-3564,4058,-7012,93,484,323,-93,166,-75
470,-3524,4294,-7438,108,504,344,-95,169,-78
480,-3876,4542,-8000,112,480,345,-94,170,-78
490,-4000,4750,-8178,98,439,307,-93,168,-78
500,-3674,4532,-7718,98,418,289,-94,169,-78
510,-3470,4322,-7442,106,433,280,-92,170,-80
520,-3416,4414,-7442,99,442,267,-90,168,-78
530,-3320,4564,-7626,88,465,255,-92,169,-81
540,-3176,4538,-7766,80,445,229,-92,169,-81
550,-3256,4228,-7750,104,465,277,-91,171,-82
560,-3128,4156,-7828,99,461,295,-93,168,-78
570,-3080,3982,-7432,94,494,302,-90,168,-81
580,-2798,3944,-7548,106,538,335,-90,171,-81
590,-2792,4060,-7884,116,549,379,-91,169,-81
600,-3064,4474,-8314,114,520,360,-91,170,-81
610,-3104,4768,-8736,98,481,341,-90,169,-84
620,-2912,4924,-8798,98,402,283,-89,170,-83
630,-2842,4862,-8316,82,355,261,-90,172,-84
640,-2640,4628,-7960,89,351,251,-88,169,-82
650,-2676,4356,-7694,91,358,254,-86,170,-84
660,-2558,4382,-7604,73,383,244,-90,170,-82
670,-2670,4140,-7472,79,425,262,-88,170,-83
680,-2756,3980,-7594,91,449,288,-89,171,-85
690,-2592,3954,-7462,90,502,323,-88,171,-85
700,-2518,4230,-7928,92,524,316,-89,172,-87
710,-2550,4576,-8296,90,502,332,-88,173,-83
720,-2712,4934,-8726,103,432,319,-88,171,-85
730,-2702,4768,-8590,101,381,297,-87,172,-88
740,-2658,4656,-8476,101,348,282,-85,172,-88
750,-2250,4188,-7488,93,366,269,-86,172,-88
760,-1806,3824,-6746,100,473,309,-86,171,-89
770,-1816,4060,-6964,104,549,332,-87,172,-87
780,-1964,4392,-7658,110,614,362,-86,173,-88
790,-2202,4810,-8560,112,609,339,-85,175,-88
800,-2234,4920,-9208,95,543,324,-86,175,-90
810,-2270,4958,-9378,93,439,288,-81,174,-87
820,-1936,4612,-8600,96,400,266,-86,177,-91
830,-1692,4358,-8294,99,373,248,-83,174,-91
840,-1706,4220,-8072,91,365,256,-84,173,-90
850,-1580,4406,-8210,92,378,266,-84,174,-90
860,-1694,4538,-8388,90,366,271,-84,173,-92
870,-1650,4652,-8146,92,387,274,-82,175,-91
880,-1454,4608,-8008,76,395,256,-82,174,-91
890,-1462,4518,-8046,77,411,264,-82,176,-92
900,-1522,4570,-8260,90,405,267,-81,176,-91
910,-1498,4306,-7754,91,436,295,-83,173,-93
920,-1832,4174,-8004,104,471,304,-82,175,-93
930,-1674,4128,-7908,96,476,319,-82,173,-93
940,-1440,4284,-7946,98,518,334,-79,175,-92
950,-1484,4754,-8816,103,499,340,-81,175,-93
960,-1648,5004,-9046,103,438,313,-78,177,-95
970,-1536,5024,-8972,96,379,276,-80,175,-94
980,-1156,4666,-8160,87,354,245,-80,177,-94
990,-1154,4100,-7540,101,401,284,-78,176,-95
1000,-1058,3610,-7114,114,484,336,-79,177,-94
1010,-968,3774,-7098,114,580,363,-77,177,-95
1020,-714,4338,-7648,118,670,373,-75,173,-98
1030,-872,4946,-8800,117,662,391,-77,174,-95
1040,-1246,5252,-9940,120,565,374,-76,175,-95
1050,-924,5238,-9880,104,445,301,-76,178,-96
1060,-930,5114,-9676,79,339,229,-75,176,-95
1070,-702,4502,-8730,89,290,212,-74,176,-98
1080,-546,3996,-7930,84,306,223,-74,177,-97
1090,-378,3710,-7518,93,368,255,-75,175,-98
1100,-316,4064,-7752,93,450,292,-76,176,-95
1110,-334,4654,-8292,89,482,302,-75,178,-98
1120,-370,4696,-8752,101,471,304,-75,178,-98
1130,-360,4462,-8532,99,454,302,-75,178,-97
1140,-478,4318,-8294,97,462,318,-73,176,-97
1150,-542,4236,-8296,98,465,330,-71,178,-100
1160,-432,4378,-8566,113,472,327,-74,176,-99
1170,-436,4584,-8856,102,455,298,-72,177,-98
1180,-468,4544,-9056,94,418,281,-73,177,-100
1190,-274,4572,-8672,90,382,271,-71,177,-100
1200,-100,4400,-8048,79,392,266,-68,177,-100
1210,-16,4254,-7646,80,420,283,-72,179,-100
1220,174,4062,-7422,98,482,311,-71,179,-101
1230,20,4120,-7796,114,529,336,-71,180,-101
1240,94,4370,-8382,121,540,334,-68,178,-101
1250,92,4948,-9348,108,491,295,-70,180,-101
1260,90,4962,-9602,100,419,251,-67,179,-101
1270,282,4864,-9216,71,325,185,-68,177,-103
1280,332,4326,-8348,74,317,205,-67,178,-102
1290,412,3952,-7832,92,364,255,-67,179,-101
1300,522,3578,-7352,104,431,298,-65,179,-102
1310,692,3596,-7278,107,526,327,-67,180,-103
1320,476,4144,-8312,101,555,343,-67,178,-102
1330,704,4656,-8960,104,545,362,-65,180,-104
1340,548,4828,-9308,102,481,342,-68,179,-104
1350,706,4746,-9032,89,435,304,-67,181,-103
1360,604,4422,-8772,88,410,296,-66,180,-103
1370,666,4232,-8378,102,399,293,-62,181,-103
1380,668,4150,-8324,94,397,267,-65,177,-105
1390,960,4450,-8504,81,400,248,-63,177,-106
1400,822,4542,-8572,74,395,245,-65,180,-103
1410,736,4274,-8368,83,385,258,-63,178,-103
1420,862,4176,-8128,87,400,279,-64,179,-104
1430,1004,4202,-8116,92,443,277,-62,180,-104
1440,996,4178,-8298,96,451,278,-63,180,-105
1450,1022,4136,-8522,96,464,295,-62,180,-106
1460,1004,4248,-8524,92,433,290,-62,179,-107
1470,1166,4482,-8576,89,424,285,-61,180,-105
1480,1210,4488,-8830,107,417,284,-60,179,-107
1490,1378,4186,-8494,93,380,250,-60,178,-106
1500,1448,3936,-8120,85,401,255,-58,180,-105
1510,1700,3882,-7426,69,463,290,-60,180,-107
1520,1760,3914,-7390,86,519,333,-59,182,-108
1530,1462,4244,-8292,106,546,354,-60,180,-107
1540,1500,4784,-9224,98,486,305,-57,181,-107
1550,1428,5326,-10322,82,329,228,-56,180,-108
1560,1512,5386,-10532,67,159,137,-60,177,-107
1570,1478,5426,-10312,39,-42,-3,-59,182,-107
1580,1650,4782,-9252,13,-154,-83,-59,182,-108
1590,1642,3926,-8020,19,-169,-98,-59,182,-108
1600,1650,3348,-7140,28,-99,-53,-57,181,-107
1610,1688,3344,-6980,42,5,11,-59,182,-106
1620,1684,3822,-7652,60,80,55,-57,181,-106
1630,1622,4446,-8716,63,92,51,-59,180,-108
1640,1472,4810,-9664,41,25,9,-57,179,-107
1650,1480,4816,-9684,36,-78,-32,-58,180,-106
1660,1550,4518,-8942,15,-148,-67,-59,182,-106
1670,1572,3912,-7864,16,-147,-74,-56,180,-108
1680,1560,3508,-7322,23,-90,-37,-58,178,-105
1690,1520,3486,-7150,37,-8,19,-58,181,-106
1700,1532,3912,-7740,49,58,50,-59,182,-108
1710,1522,4464,-8616,51,66,55,-59,179,-107
1720,1486,4816,-9284,50,21,13,-58,180,-106
1730,1454,4868,-9408,28,-67,-39,-59,179,-104
1740,1484,4610,-9050,16,-149,-96,-59,183,-107
1750,1506,4336,-8558,18,-221,-133,-58,180,-106
1760,1546,3922,-8024,27,-210,-125,-58,181,-107
1770,1552,3840,-7816,28,-190,-113,-57,180,-105
1780,1688,3988,-7838,25,-153,-93,-58,181,-106
1790,1496,4518,-8774,19,-178,-112,-59,182,-106
1800,1348,4830,-9578,17,-248,-140,-59,181,-106
1810,1352,4940,-9900,11,-362,-207,-58,181,-105
1820,1492,4654,-9260,-16,-430,-268,-59,181,-105
1830,1510,4222,-8340,-23,-469,-285,-61,181,-106
1840,1464,4192,-8142,-23,-472,-283,-58,179,-105
1850,1294,4612,-8798,-12,-490,-295,-59,181,-105
1860,1218,4922,-9644,-2,-555,-324,-60,179,-104
1870,1260,4938,-9554,-35,-645,-402,-59,181,-106
1880,1124,4516,-8880,-61,-705,-461,-62,182,-105
1890,1230,3886,-7704,-51,-710,-441,-61,179,-104
1900,1352,3708,-7168,-51,-641,-411,-64,180,-105
1910,974,3736,-7428,-25,-560,-341,-63,179,-107
1920,868,3946,-7816,-15,-489,-304,-62,179,-105
1930,760,4162,-8300,-8,-465,-283,-63,180,-102
1940,724,4442,-8694,-9,-467,-276,-63,180,-103
1950,634,4532,-8710,-20,-490,-291,-65,179,-105
1960,666,4598,-8596,-25,-528,-301,-66,180,-103
1970,492,4528,-8492,-20,-537,-316,-66,178,-102
1980,494,4162,-8248,-9,-514,-291,-68,178,-104
1990,442,4196,-7862,2,-467,-277,-66,180,-104
2000,502,4288,-8158,-2,-434,-274,-65,179,-103
2010,374,4668,-8844,2,-439,-277,-65,179,-105
2020,468,4590,-8838,-4,-471,-307,-68,179,-102
2030,366,4504,-8626,-18,-515,-340,-68,180,-102
2040,516,4150,-8160,-24,-488,-323,-66,178,-101
2050,428,4130,-8286,-8,-473,-302,-68,180,-103
2060,224,3984,-8378,3,-458,-272,-70,179,-100
2070,168,4170,-8604,-8,-447,-283,-68,179,-101
2080,276,4400,-8778,-9,-474,-295,-66,179,-100
2090,200,4588,-8944,-7,-516,-299,-70,179,-103
2100,90,4662,-8816,-20,-557,-316,-70,179,-100
2110,206,4638,-8456,-32,-568,-344,-69,178,-101
2120,136,4694,-8658,-29,-587,-354,-70,177,-101
2130,12,4538,-8524,-27,-613,-367,-72,178,-98
2140,-132,4304,-8124,-43,-587,-370,-70,179,-99
2150,-164,4078,-7796,-39,-560,-365,-70,178,-101
2160,-222,4036,-7598,-35,-503,-325,-73,178,-100
2170,-396,4226,-8034,-11,-468,-273,-72,178,-100
2180,-628,4400,-8432,-1,-451,-274,-75,179,-100
2190,-702,4576,-9018,-13,-476,-294,-73,178,-99
2200,-586,4574,-8824,-13,-508,-298,-73,177,-96
2210,-652,4656,-8602,-23,-543,-315,-74,178,-98
2220,-712,4470,-8202,-22,-543,-315,-73,176,-99
2230,-460,4182,-7764,-10,-501,-305,-75,177,-97
2240,-366,4052,-7434,-9,-439,-269,-76,175,-96
2250,-662,4370,-7888,2,-380,-233,-75,179,-98
2260,-878,4558,-8486,20,-378,-229,-74,175,-96
2270,-886,4826,-8996,12,-399,-258,-76,176,-96
2280,-898,4986,-9226,-15,-435,-304,-76,176,-97
2290,-858,4954,-9224,-30,-520,-337,-79,176,-97
2300,-846,4744,-8806,-40,-575,-361,-77,175,-97
2310,-1062,4352,-8392,-30,-595,-377,-76,174,-95
2320,-850,4078,-7868,-26,-575,-351,-77,175,-94
2330,-810,4040,-7966,-13,-530,-312,-79,175,-95
2340,-996,4056,-8160,-3,-500,-284,-77,177,-95
